"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация","0","UI — отображение элементов","7","0","","0"
"0","Авторизация","0","Безопасность","4","0","","0"
"0","Авторизация","0","Чекбокс 'Запомнить меня'","3","0","","0"
"0","Авторизация","0","Пробелы в email","5","0","","0"
"0","Авторизация","0","Позитивные сценарии","4","0","","0"
"0","Авторизация","0","HTML5 валидация email","3","0","","0"
"0","Авторизация","0","UX / Accessibility","4","0","","0"
"0","Авторизация","0","Негативные — пустые поля","3","0","","0"
"0","Авторизация","0","Негативные — неверные credentials","6","0","","0"
"0","Авторизация","0","Кнопка 'Войти'","3","0","","0"
"0","Авторизация","0","Регистр email","6","0","","0"
"0","Авторизация","0","Сессия — запомнить меня","2","0","","0"
